task_id,module,task_name,owner,priority,status,progress,start_date,plan_end_date,actual_end_date,risk_level,dependency,blocker,next_action,notes
T-001,项目管理,需求澄清与验收标准定义,PM,P0,未开始,0,2026-05-11,2026-05-12,,中,, ,组织需求评审会议,
T-002,架构,E2E架构设计评审,架构,P0,未开始,0,2026-05-12,2026-05-14,,中,T-001,依赖未完成,输出E2E架构图,
T-003,协议,定义gRPC proto v1,Go+.NET,P0,未开始,0,2026-05-13,2026-05-16,,高,T-002,依赖未完成,对齐流控字段与状态码,
T-004,工程化,构建脚本与CI初版,DevOps,P0,未开始,0,2026-05-13,2026-05-14,,低,T-002,,创建流水线,
T-005,插件框架,实现BackendPlugin.New与配置解析,Go,P0,未开始,0,2026-05-15,2026-05-16,,低,T-004,,创建插件skeleton,
T-006,插件框架,Backend基类嵌入BackendUnsupported,Go,P0,未开始,0,2026-05-16,2026-05-16,,低,T-005,,完成后端对象初始化,
T-007,gRPC Client,连接池/TLS/鉴权/重连策略,Go,P0,未开始,0,2026-05-16,2026-05-18,,中,T-003|T-005,,打通health检查,
T-008,PutObject,流式chunk上传实现,Go,P0,未开始,0,2026-05-17,2026-05-22,,高,T-006|T-007,,先打通100MB样例链路,
T-009,PutObject,Commit与状态回写,Go,P0,未开始,0,2026-05-22,2026-05-24,,中,T-008,,返回ETag并记录状态,
T-010,Multipart,CreateMultipartUpload会话管理,Go,P0,未开始,0,2026-05-23,2026-05-24,,中,T-006|T-007,,生成upload session,
T-011,Multipart,UploadPart流式分片传输,Go,P0,未开始,0,2026-05-24,2026-05-27,,中,T-010,,完成part粒度重试,
T-012,Multipart,CompleteMultipartUpload提交刻录,Go,P0,未开始,0,2026-05-27,2026-05-29,,中,T-011,,实现合并与commit,
T-013,状态查询,HeadObject/GetObjectAttributes状态映射,Go,P1,未开始,0,2026-05-29,2026-05-31,,中,T-009|T-012,,实现状态可读,
T-014,列举能力,ListObjectsV2最小可用,Go,P2,未开始,0,2026-06-01,2026-06-02,,低,T-013,,输出任务目录视图,
T-015,错误处理,gRPC/PrimoBurner异常映射,Go+.NET,P0,未开始,0,2026-05-25,2026-05-27,,中,T-008,,输出错误码映射表,
T-016,幂等,幂等键与重复请求处理,Go,P0,未开始,0,2026-05-27,2026-05-29,,中,T-008|T-011,,实现幂等存储,
T-017,恢复能力,插件重启任务恢复,Go,P1,未开始,0,2026-05-30,2026-06-02,,高,T-016,,实现恢复扫描,
T-018,.NET服务,Burn Engine封装(PrimoBurner),.NET,P0,未开始,0,2026-05-15,2026-05-23,,高,T-003,,先实现mock BlockDevice,
T-019,.NET服务,任务状态机与调度,.NET,P0,未开始,0,2026-05-24,2026-05-29,,中,T-018,,完成状态迁移图,
T-020,.NET服务,流控与backpressure实现,.NET,P0,未开始,0,2026-05-29,2026-06-01,,中,T-018,,实现窗口确认机制,
T-021,可观测性,结构化日志与traceId,Go+.NET,P1,未开始,0,2026-06-01,2026-06-02,,低,T-007,,统一日志字段,
T-022,可观测性,metrics埋点,Go+.NET,P1,未开始,0,2026-06-02,2026-06-04,,中,T-021,,输出吞吐/时延/失败率,
T-023,测试,单元测试,QA+Dev,P0,未开始,0,2026-05-30,2026-06-05,,中,T-008~T-020,,先覆盖关键路径,
T-024,测试,集成测试,QA,P0,未开始,0,2026-06-06,2026-06-10,,高,T-023,,准备介质与驱动器,
T-025,测试,故障注入测试,QA/SRE,P1,未开始,0,2026-06-10,2026-06-13,,高,T-024,,执行断网/超时/介质异常,
T-026,发布,灰度发布与回滚脚本,SRE,P1,未开始,0,2026-06-13,2026-06-15,,中,T-024,,演练回滚,
T-027,文档,运维手册与Runbook,SRE,P1,未开始,0,2026-06-14,2026-06-15,,低,T-025,,完善故障处理流程,
T-028,验收,UAT与上线评审,PM/业务,P0,未开始,0,2026-06-16,2026-06-17,,中,T-026|T-027,,组织验收会,
